part_number,nomenclature,figure,item,effect_code,seat_assy_pns
F0515193,"SEAT PAN CUSHION ASSY, L3",25-04-48,135,"A-M,V,W,X-AJ","3162312-001;3162302-002;3162312-01L;3162302-02L;3162310-021;3162300-022;3162310-023;3162300-024;3162312-005;3162302-006;3162312-01B;3162302-012;3162312-03J;3162312-01N;3162302-02N;3162312A001;3162302A002;3162312A01L;3162302A02L;3162310A021;3162300A022;3162310A023;3162300A024;3162312A005;3162302A006;3162312A01B;3162302A03J"
F0515193,"SEAT PAN CUSHION ASSY, L3",25-04-48,135C,"N,AK,AL","3162312-03J;3162312A084;3162302A084"
F0515194,"SEAT PAN CUSHION ASSY, L4",25-04-48,135D,"N,AK,AL","3162312-03J;3162312A084;3162302A084"
F0515194,"SEAT PAN CUSHION ASSY, L4",25-04-48,135E,"Q,R,AM,AN","3162312-01J;3162302-082;3162312A01L;3162302A082"
F0456247,"SEAT PAN FOAM, L3",25-04-48,140,"A-P,V,W,X-AL","3162312-001;3162302-002;3162312-01L;3162302-02L;3162310-021;3162300-022;3162310-023;3162300-024;3162312-005;3162302-006;3162312-01B;3162302-012;3162312-03J;3162302-084;3162312-01N;3162302-02N;3162312A001;3162302A002;3162312A01L;3162302A02L;3162310A021;3162300A022;3162310A023;3162300A024;3162312A005;3162302A006;3162312A01B;3162302A03J;3162312A084;3162302A084"
F0456248,"SEAT PAN FOAM, L4",25-04-48,140B,"N-R,AK-AN","3162312-03J;3162302-084;3162312-01J;3162302-082;3162312A084;3162302A084;3162312A01L;3162302A082"
F0515195,"SEAT PAN COVER, L3",25-04-48,145,"A-P,V,W,X-AL","3162312-001;3162302-002;3162312-01L;3162302-02L;3162310-021;3162300-022;3162310-023;3162300-024;3162312-005;3162302-006;3162312-01B;3162302-012;3162312-03J;3162302-084;3162312-01N;3162302-02N;3162312A001;3162302A002;3162312A01L;3162302A02L;3162310A021;3162300A022;3162310A023;3162300A024;3162312A005;3162302A006;3162312A01B;3162302A03J;3162312A084;3162302A084"
F0515196,"SEAT PAN COVER, L4",25-04-48,145B,"N-R,AK-AN","3162312-03J;3162302-084;3162312-01J;3162302-082;3162312A084;3162302A084;3162312A01L;3162302A082"
F0438467,"BACKREST FOAM, L3",25-04-48,150,"A-M,V,W,X-AJ","3162312-001;3162302-002;3162312-01L;3162302-02L;3162310-021;3162300-022;3162310-023;3162300-024;3162312-005;3162302-006;3162312-01B;3162302-012;3162312-03J;3162312-01N;3162302-02N;3162312A001;3162302A002;3162312A01L;3162302A02L;3162310A021;3162300A022;3162310A023;3162300A024;3162312A005;3162302A006;3162312A01B;3162302A03J"
F0438467,"BACKREST FOAM, L3",25-04-48,150A,"N,P,AK,AL","3162312-03J;3162302-084;3162312A084;3162302A084"
